systemTime,matchLogItemType,eventTime,roundNumber,roundTime,entryValue,blueAddPoints,redAddPoints,score,blueGeneralPoints,redGeneralPoints,bluePoints,redPoints,bluePenalties,redPenalties,blueTotalPenalties,redTotalPenalties,blueGoldenPointHits,redGoldenPointHits,blueGoldenPointPenalties,redGoldenPointPenalties,goldenPointRound,entryValue.1,blueVideoQuota,redVideoQuota
1716727547457,RESUME,1716727547457.0,1.0,1716699671386.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727551158,TIMEOUT,1716727551158.0,1.0,1716699667696.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727555588,OT_BLUE_BODY_HIT,1716727555588.0,1.0,1716699667694.0,4,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4,1.0,1.0
1716727557933,OT_RED_BODY_HIT,1716727557933.0,1.0,1716699667694.0,12,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12,1.0,1.0
1716727562366,RESUME,1716727562366.0,1.0,1716699667694.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727563387,TIMEOUT,1716727563387.0,1.0,1716699666684.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727565598,RESUME,1716727565598.0,1.0,1716699666682.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727580186,RED_BODY_HIT,1716727580186.0,1.0,1716699652094.0,8,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,8,1.0,1.0
1716727583842,RED_BODY_HIT,1716727583842.0,1.0,1716699648439.0,2,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1.0,1.0
1716727592002,TIMEOUT,1716727592002.0,1.0,1716699640289.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727597072,RESUME,1716727597072.0,1.0,1716699640289.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727601095,BLUE_BODY_HIT,1716727601095.0,1.0,1716699636266.0,25,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,25,1.0,1.0
1716727601098,BLUE_BODY_POINT,1716727601095.0,1.0,1716699636264.0,SENSOR,2.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,SENSOR,1.0,1.0
1716727614391,TIMEOUT,1716727614391.0,1.0,1716699622980.0,,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727619838,RESUME,1716727619838.0,1.0,1716699622980.0,,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727621425,RED_BODY_HIT,1716727621425.0,1.0,1716699621392.0,20,0.0,0.0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,20,1.0,1.0
1716727621428,RED_BODY_POINT,1716727621425.0,1.0,1716699621392.0,SENSOR,0.0,2.0,2-2,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,SENSOR,1.0,1.0
1716727634262,RED_HEAD_HIT,1716727634262.0,1.0,1716699608557.0,15,0.0,0.0,2-2,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,15,1.0,1.0
1716727634263,RED_HEAD_POINT,1716727634262.0,1.0,1716699608557.0,SENSOR,0.0,3.0,2-5,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,SENSOR,1.0,1.0
1716727636612,TIMEOUT,1716727636612.0,1.0,1716699606215.0,,0.0,0.0,2-5,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727644029,RESUME,1716727644029.0,1.0,1716699606215.0,,0.0,0.0,2-5,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727645829,RED_BODY_HIT,1716727645829.0,1.0,1716699604415.0,7,0.0,0.0,2-5,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7,1.0,1.0
1716727653296,SCOREBOARD,1716727653296.0,1.0,1716699600000.0,,0.0,0.0,2-5,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727655980,RED_ADD_GAME_JEON,1716727655977.0,1.0,1716699600000.0,SCOREBOARD_EDITOR,0.0,0.0,3-5,3.0,5.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,SCOREBOARD_EDITOR,1.0,1.0
1716727656831,END_ROUND,1716727656831.0,1.0,1716699600000.0,,0.0,0.0,3-5,3.0,5.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727727211,START_ROUND,1716727727211.0,2.0,1716699720000.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727727398,RED_BODY_HIT,1716727727398.0,2.0,1716699719814.0,1,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,1,1.0,1.0
1716727728904,RED_BODY_HIT,1716727728903.0,2.0,1716699718307.0,8,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,8,1.0,1.0
1716727733341,TIMEOUT,1716727733341.0,2.0,1716699713881.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727736363,RESUME,1716727736363.0,2.0,1716699713879.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727736848,TIMEOUT,1716727736848.0,2.0,1716699713404.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727745577,SCOREBOARD,1716727745577.0,2.0,1716699713404.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727745578,RED_VIDEO_REQUEST,1716727745578.0,2.0,1716699713404.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,1.0
1716727784630,RED_VIDEO_QUOTA_CHANGED,1716727784630.0,2.0,1716699713404.0,0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0,1.0,0.0
1716727795507,SCOREBOARD,1716727795507.0,2.0,1716699713404.0,,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727798690,RED_HEAD_POINT,1716727798690.0,2.0,1716699713404.0,SCOREBOARD_EDITOR,0.0,3.0,0-3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,SCOREBOARD_EDITOR,1.0,0.0
1716727800941,RESUME,1716727800941.0,2.0,1716699713404.0,,0.0,0.0,0-3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727802402,BLUE_BODY_HIT,1716727802402.0,2.0,1716699711942.0,7,0.0,0.0,0-3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,7,1.0,0.0
1716727803473,BLUE_BODY_HIT,1716727803473.0,2.0,1716699710873.0,15,0.0,0.0,0-3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,15,1.0,0.0
1716727803719,RED_BODY_HIT,1716727803719.0,2.0,1716699710626.0,2,0.0,0.0,0-3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,2,1.0,0.0
1716727805388,BLUE_BODY_HIT,1716727805388.0,2.0,1716699708957.0,18,0.0,0.0,0-3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,18,1.0,0.0
1716727833998,TIMEOUT,1716727833998.0,2.0,1716699680358.0,,0.0,0.0,0-3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727839473,RESUME,1716727839473.0,2.0,1716699680356.0,,0.0,0.0,0-3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727853157,RED_JUDGE_PUNCH,1716727853157.0,2.0,1716699666672.0,1,0.0,0.0,0-3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,1,1.0,0.0
1716727853571,RED_JUDGE_PUNCH,1716727853571.0,2.0,1716699666258.0,2,0.0,0.0,0-3,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,2,1.0,0.0
1716727853574,RED_PUNCH_POINT,1716727853571.0,2.0,1716699666258.0,JUDGE,0.0,1.0,0-4,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,JUDGE,1.0,0.0
1716727863462,RED_BODY_HIT,1716727863462.0,2.0,1716699656368.0,2,0.0,0.0,0-4,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,2,1.0,0.0
1716727865117,RED_BODY_HIT,1716727865117.0,2.0,1716699654712.0,1,0.0,0.0,0-4,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,1,1.0,0.0
1716727884961,TIMEOUT,1716727884961.0,2.0,1716699634878.0,,0.0,0.0,0-4,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727886898,BLUE_ADD_GAME_JEON,1716727886897.0,2.0,1716699634877.0,MAIN_CONTROL,0.0,0.0,0-5,0.0,5.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,MAIN_CONTROL,1.0,0.0
1716727892394,RESUME,1716727892394.0,2.0,1716699634877.0,,0.0,0.0,0-5,0.0,5.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727896695,TIMEOUT,1716727896695.0,2.0,1716699630586.0,,0.0,0.0,0-5,0.0,5.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727901570,RED_ADD_GAME_JEON,1716727901570.0,2.0,1716699630584.0,MAIN_CONTROL,0.0,0.0,1-5,1.0,5.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,MAIN_CONTROL,1.0,0.0
1716727902831,RESUME,1716727902831.0,2.0,1716699630584.0,,0.0,0.0,1-5,1.0,5.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727904772,BLUE_HEAD_HIT,1716727904772.0,2.0,1716699628642.0,17,0.0,0.0,1-5,1.0,5.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,17,1.0,0.0
1716727904774,BLUE_HEAD_POINT,1716727904772.0,2.0,1716699628642.0,SENSOR,3.0,0.0,4-5,4.0,5.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,SENSOR,1.0,0.0
1716727906667,TIMEOUT,1716727906667.0,2.0,1716699626758.0,,0.0,0.0,4-5,4.0,5.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727911201,BLUE_ADD_GAME_JEON,1716727911200.0,2.0,1716699626757.0,MAIN_CONTROL,0.0,0.0,4-6,4.0,6.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,MAIN_CONTROL,1.0,0.0
1716727913055,RESUME,1716727913055.0,2.0,1716699626757.0,,0.0,0.0,4-6,4.0,6.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727917702,RED_BODY_HIT,1716727917702.0,2.0,1716699622110.0,9,0.0,0.0,4-6,4.0,6.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,9,1.0,0.0
1716727923930,TIMEOUT,1716727923930.0,2.0,1716699615893.0,,0.0,0.0,4-6,4.0,6.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727930457,BLUE_ADD_GAME_JEON,1716727930457.0,2.0,1716699615893.0,MAIN_CONTROL,0.0,0.0,4-7,4.0,7.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,MAIN_CONTROL,1.0,0.0
1716727932229,RESUME,1716727932229.0,2.0,1716699615893.0,,0.0,0.0,4-7,4.0,7.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727936543,BLUE_BODY_HIT,1716727936543.0,2.0,1716699611579.0,4,0.0,0.0,4-7,4.0,7.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,4,1.0,0.0
1716727938657,BLUE_BODY_HIT,1716727938657.0,2.0,1716699609465.0,6,0.0,0.0,4-7,4.0,7.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,6,1.0,0.0
1716727939127,RED_BODY_HIT,1716727939127.0,2.0,1716699608994.0,3,0.0,0.0,4-7,4.0,7.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,3,1.0,0.0
1716727939495,BLUE_BODY_HIT,1716727939495.0,2.0,1716699608626.0,13,0.0,0.0,4-7,4.0,7.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,13,1.0,0.0
1716727940342,TIMEOUT,1716727940342.0,2.0,1716699607790.0,,0.0,0.0,4-7,4.0,7.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727942459,BLUE_ADD_GAME_JEON,1716727942458.0,2.0,1716699607790.0,MAIN_CONTROL,0.0,0.0,4-8,4.0,8.0,3.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,MAIN_CONTROL,1.0,0.0
1716727952585,SCOREBOARD,1716727952585.0,2.0,1716699607790.0,,0.0,0.0,4-8,4.0,8.0,3.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727952585,RED_VIDEO_REQUEST,1716727952585.0,2.0,1716699607790.0,,0.0,0.0,4-8,4.0,8.0,3.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727986147,RESUME,1716727986147.0,2.0,1716699607790.0,,0.0,0.0,4-8,4.0,8.0,3.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727989613,RED_BODY_HIT,1716727989613.0,2.0,1716699604324.0,17,0.0,0.0,4-8,4.0,8.0,3.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,17,1.0,0.0
1716727990665,TIMEOUT,1716727990665.0,2.0,1716699603282.0,,0.0,0.0,4-8,4.0,8.0,3.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,1.0,0.0
1716727992851,BLUE_ADD_GAME_JEON,1716727992850.0,2.0,1716699603282.0,MAIN_CONTROL,0.0,0.0,4-9,4.0,9.0,3.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,MAIN_CONTROL,1.0,0.0
